Brand,Price,Processor_brand,Threads,RAM_type,Storage_type,Graphics_brand,Graphics_integreted,Touch_screen,Operating_system,Log_Price,GPU_tier,RAM_tier,Storage_tier,Processor_gen_tier,Display_tier,ppi_tier,is_gaming,brand_tier,performance_score,display_quality
4,50399,0,12.0,0,2,0,0,1,5,10.827726612592778,0,1,2,0,0,2,0,2,12.0,6
6,26690,0,8.0,4,2,0,0,0,5,10.19204424239857,0,1,2,0,0,2,0,1,8.0,6
4,37012,2,8.0,0,2,2,0,0,5,10.51899746336892,4,1,2,2,0,2,0,2,24.0,6
9,69990,2,16.0,4,2,2,0,0,5,11.156107653683586,4,2,2,2,2,0,0,3,48.0,3
8,23990,2,4.0,2,2,2,0,0,5,10.08539235583374,4,1,2,1,0,2,0,0,8.0,6
9,42990,2,12.0,2,2,2,1,0,5,10.668722809490328,4,1,2,2,0,2,0,3,36.0,6
8,102990,2,32.0,1,2,3,0,0,5,11.542387175119847,8,2,0,2,0,0,1,0,96.0,9
3,33780,2,8.0,0,2,2,0,0,5,10.427624190361792,4,1,2,2,0,2,0,2,24.0,6
4,54990,2,12.0,0,2,2,1,0,5,10.91490662950186,4,2,2,2,0,2,0,2,36.0,6
2,55980,2,16.0,0,2,2,0,0,5,10.932749763069443,4,2,2,2,0,2,0,1,48.0,6
8,24990,2,8.0,0,2,2,0,0,5,10.126231023828998,4,1,2,1,0,2,0,0,16.0,6
6,26739,0,8.0,0,2,0,0,0,5,10.193878452798828,0,1,2,0,0,2,0,1,8.0,6
4,81990,0,16.0,1,2,3,0,0,5,11.314352567590223,7,2,0,0,0,2,1,2,16.0,6
1,76990,1,12.0,0,2,1,1,0,2,11.251430822272097,1,1,1,2,2,4,0,3,36.0,4
8,32990,2,12.0,0,2,2,1,0,5,10.403959764222629,4,2,2,2,0,2,0,0,36.0,6
2,79899,2,16.0,0,2,3,0,0,5,11.288518616031489,7,2,0,1,0,2,1,1,32.0,6
6,59990,2,12.0,1,2,3,0,0,5,11.00193316064714,6,2,2,2,0,2,1,1,36.0,6
1,114900,1,12.0,0,2,1,0,0,2,11.651817463836847,1,1,1,2,1,4,0,3,36.0,8
3,36940,0,12.0,0,2,0,0,0,5,10.517050253753233,0,1,2,0,0,2,0,2,12.0,6
2,53890,2,12.0,0,2,3,0,0,5,10.894700210927542,6,1,2,1,0,2,1,1,24.0,6
6,33500,0,8.0,0,2,0,0,0,5,10.419300717813158,0,1,2,0,0,2,0,1,8.0,6
8,69990,2,16.0,0,2,3,0,0,5,11.156107653683586,8,2,2,2,0,2,1,0,48.0,6
2,46890,0,12.0,0,2,0,0,0,5,10.755559712083633,0,1,2,0,0,2,0,1,12.0,6
1,99900,1,12.0,0,2,1,0,0,2,11.511924964636645,1,1,1,2,1,4,0,3,36.0,8
9,75990,2,12.0,3,2,2,0,0,5,11.238357031663831,4,2,2,2,0,2,0,3,36.0,6
4,38990,2,8.0,0,2,2,1,0,5,10.571060481976644,4,1,2,2,1,0,0,2,24.0,6
9,299999,2,22.0,5,2,3,0,1,5,12.61153442029945,8,0,0,2,0,4,1,3,66.0,12
2,39800,2,12.0,0,2,2,0,0,5,10.59162219127253,4,1,2,2,0,2,0,1,36.0,6
6,44990,0,16.0,0,2,0,0,0,5,10.71419552183522,0,1,2,0,0,2,0,1,16.0,6
0,112490,2,24.0,1,2,3,0,0,5,11.63061960778687,8,2,0,2,0,2,1,1,72.0,6
4,44990,0,12.0,0,2,3,0,0,5,10.71419552183522,3,1,2,0,0,2,1,2,12.0,6
4,61990,2,12.0,0,2,3,0,0,5,11.034728360695963,6,2,2,2,0,2,1,2,36.0,6
3,81990,2,16.0,1,2,3,0,0,5,11.314352567590223,7,2,0,2,0,2,1,2,48.0,6
2,94990,0,16.0,4,2,3,0,1,5,11.461526901884229,7,2,2,0,1,0,1,1,16.0,6
2,102499,2,20.0,0,2,3,0,0,5,11.537608321415448,8,2,2,2,0,2,1,1,60.0,6
3,69999,2,16.0,1,2,2,1,0,5,11.156236235215168,4,2,2,2,1,0,0,2,48.0,6
6,75990,2,18.0,4,2,2,0,0,5,11.238357031663831,4,2,0,2,0,2,0,1,54.0,6
8,27990,2,8.0,3,2,2,1,0,5,10.2396025825095,4,2,2,1,0,2,0,0,16.0,6
7,94990,2,16.0,1,2,3,0,0,5,11.461526901884229,8,2,0,2,0,2,1,2,48.0,6
2,99990,0,16.0,4,2,3,0,1,5,11.512825459969894,7,2,0,0,1,0,1,1,16.0,6
2,61990,2,12.0,0,2,3,0,0,5,11.034728360695963,7,2,2,1,0,2,1,1,24.0,6
2,55200,0,16.0,0,2,0,0,0,5,10.918718232265189,0,2,2,0,0,2,0,1,16.0,6
9,72990,2,16.0,4,2,2,0,1,5,11.198077724445678,4,2,2,2,2,0,0,3,48.0,3
4,96999,2,14.0,4,2,2,1,1,5,11.482455948154028,4,2,2,2,1,0,0,2,42.0,6
4,138990,2,28.0,1,2,3,0,0,5,11.842157267078804,8,2,0,2,0,2,1,2,84.0,6
3,99990,2,12.0,1,2,3,0,0,5,11.512825459969894,8,2,0,2,0,2,1,2,36.0,6
6,64990,2,16.0,4,2,2,1,0,5,11.081988690888394,4,2,2,2,1,0,0,1,48.0,6
6,32990,2,8.0,0,2,2,0,0,5,10.403959764222629,4,1,2,2,0,2,0,1,24.0,6
4,47990,2,12.0,0,2,2,1,0,5,10.77874793485229,4,1,2,2,0,2,0,2,36.0,6
0,53990,2,12.0,0,2,3,0,0,5,10.896554123212333,6,2,2,2,0,2,1,1,36.0,6
5,74990,2,20.0,5,2,2,1,0,5,11.225110050295434,4,0,0,2,0,2,0,0,60.0,6
2,86990,2,16.0,0,2,3,0,0,5,11.373548448501586,8,2,2,2,0,2,1,1,48.0,6
4,19979,0,2.0,0,2,0,1,0,1,9.90243700089995,4,1,1,0,0,1,0,2,2.0,3
7,37990,0,12.0,0,2,0,0,0,5,10.54507824618167,0,2,2,0,1,0,0,2,12.0,6
3,48990,2,12.0,0,2,2,0,0,5,10.79937147463262,4,1,2,2,0,2,0,2,36.0,6
2,31990,2,4.0,0,2,2,1,1,5,10.373178632943564,4,1,2,1,0,2,0,1,8.0,6
6,55390,2,12.0,4,2,2,1,0,5,10.92215435102715,4,2,2,2,1,0,0,1,36.0,6
4,96990,0,16.0,4,2,0,0,1,5,11.482363159387589,0,2,2,1,1,0,0,2,32.0,6
4,37490,2,8.0,0,2,2,0,0,5,10.531829509729958,4,1,2,2,0,2,0,2,24.0,6
2,109990,2,20.0,4,2,2,0,0,5,11.608144731551162,4,2,0,2,0,4,0,1,60.0,12
8,46990,2,12.0,3,2,2,0,0,5,10.757690092096862,4,2,2,2,0,2,0,0,36.0,6
6,39990,0,12.0,0,2,0,0,0,5,10.596384701840863,0,1,2,0,0,2,0,1,12.0,6
4,65990,2,12.0,0,2,3,0,0,5,11.097258494377469,6,2,2,2,0,2,1,2,36.0,6
